code,name_vi,name_en
A15.0,"Bệnh lao phổi, được khẳng định bằng soi đờm có nuôi cấy hoặc không nuôi cấy đờm","Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
A15.1,"Bệnh lao phổi, chỉ được khẳng định bằng nuôi cấy","Tuberculosis of lung, confirmed by culture only"
A15.2,"Bệnh lao phổi, được khẳng được bằng mô học","Tuberculosis of lung, confirmed histologically"
A15.3,"Bệnh lao phổi, được khẳng định bằng phương pháp không xác định","Tuberculosis of lung, confirmed by unspecified means"
A15.4,"Bệnh lao hạch lympho trong khoang ngực, được khẳng định bằng vi khuẩn học và/hoặc mô học","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
A15.5,"Bệnh lao thanh quản, khí quản và/hoặc phế quản, được khẳng định bằng vi khuẩn học và/hoặc mô học","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
A15.6,"Bệnh lao màng phổi, được khẳng định bằng vi khuẩn học và/hoặc mô học","Tuberculous pleurisy, confirmed bacteriologically and histologically"
A15.7,"Bệnh lao hô hấp sơ nhiễm, được khẳng định bằng vi khuẩn học và/hoặc mô học","Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
A15.8,"Bệnh lao hô hấp khác, được khẳng định bằng vi khuẩn học và/hoặc mô học","Other respiratory tuberculosis, confirmed bacteriologically and histologically"
A15.9,"Bệnh lao hô hấp không xác định, được khẳng định bằng vi khuẩn học và/hoặc mô học","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
A16,"Bệnh lao hô hấp, không được khẳng định bằng vi khuẩn học hoặc mô học","Respiratory tuberculosis, not confirmed bacteriologically or histologically"
A16.0,"Bệnh lao phổi, âm tính bằng vi khuẩn học và/hoặc mô học","Tuberculosis of lung, bacteriologically and histologically negative"
A16.1,"Bệnh lao phổi, không xét nghiệm vi khuẩn học và/hoặc mô học","Tuberculosis of lung, bacteriological and histological examination not done"
A16.2,"Bệnh lao phổi, không đề cập đến việc khẳng định bằng vi khuẩn hoặc mô học","Tuberculosis of lung, without mention of bacteriological or histological confirmation"
A16.3,"Bệnh lao hạch lympho trong khoang ngực, không đề cập đến việc khẳng định bằng vi khuẩn học hoặc mô học","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
