code,name_vi,name_en
M10.08,"Bệnh gút vô căn, vị trí khác","Idiopathic gout, other"
M10.09,"Bệnh gút vô căn, vị trí không xác định","Idiopathic gout, site unspecified"
M10.1,Bệnh gút do nhiễm độc chì,Lead-induced gout
M10.10,"Bệnh gút do nhiễm độc chì, nhiều vị trí","Lead-induced gout, multiple sites"
M10.11,"Bệnh gút do nhiễm độc chì, vùng vai","Lead-induced gout, shoulder region"
M10.12,"Bệnh gút do nhiễm độc chì, cánh tay trên","Lead-induced gout, upper arm"
M10.13,"Bệnh gút do nhiễm độc chì, cẳng tay","Lead-induced gout, forearm"
M10.14,"Bệnh gút do nhiễm độc chì, bàn tay","Lead-induced gout, hand"
M10.15,"Bệnh gút do nhiễm độc chì, vùng chậu và/hoặc đùi","Lead-induced gout, pelvic region and thigh"
M10.16,"Bệnh gút do nhiễm độc chì, cẳng chân","Lead-induced gout, lower leg"
M10.17,"Bệnh gút do nhiễm độc chì, cổ chân và/hoặc bàn chân","Lead-induced gout, ankle and foot"
M10.18,"Bệnh gút do nhiễm độc chì, vị trí khác","Lead-induced gout, other"
M10.19,"Bệnh gút do nhiễm độc chì, vị trí không xác định","Lead-induced gout, site unspecified"
M10.2,Bệnh gút do thuốc,Drug-induced gout
M10.20,"Bệnh gút do thuốc, nhiều vị trí","Drug-induced gout, multiple sites"
M10.21,"Bệnh gút do thuốc, vùng vai","Drug-induced gout, shoulder region"
M10.22,"Bệnh gút do thuốc, cánh tay trên","Drug-induced gout, upper arm"
M10.23,"Bệnh gút do thuốc, cẳng tay","Drug-induced gout, forearm"
M10.24,"Bệnh gút do thuốc, bàn tay","Drug-induced gout, hand"
M10.25,"Bệnh gút do thuốc, vùng chậu và/hoặc đùi","Drug-induced gout, pelvic region and thigh"
M10.26,"Bệnh gút do thuốc, cẳng chân","Drug-induced gout, lower leg"
M10.27,"Bệnh gút do thuốc, cổ chân và/hoặc bàn chân","Drug-induced gout, ankle and foot"
M10.28,"Bệnh gút do thuốc, vị trí khác","Drug-induced gout, other"
M10.29,"Bệnh gút do thuốc, vị trí không xác định","Drug-induced gout, site unspecified"
M10.3,Bệnh gút do suy giảm chức năng thận,Gout due to impairment of renal function
M10.30,"Bệnh gút do suy giảm chức năng thận, nhiều vị trí","Gout due to impairment of renal function, multiple sites"
M10.31,"Bệnh gút do suy giảm chức năng thận, vùng vai","Gout due to impairment of renal function, shoulder region"
M10.32,"Bệnh gút do suy giảm chức năng thận, cánh tay trên","Gout due to impairment of renal function, upper arm"
M10.33,"Bệnh gút do suy giảm chức năng thận, cẳng tay","Gout due to impairment of renal function, forearm"
M10.34,"Bệnh gút do suy giảm chức năng thận, bàn tay","Gout due to impairment of renal function, hand"
M10.35,"Bệnh gút do suy giảm chức năng thận, vùng chậu và/hoặc đùi","Gout due to impairment of renal function, pelvic region and thigh"
M10.36,"Bệnh gút do suy giảm chức năng thận, cẳng chân","Gout due to impairment of renal function, lower leg"
M10.37,"Bệnh gút do suy giảm chức năng thận, cổ chân và/hoặc bàn chân","Gout due to impairment of renal function, ankle and foot"
M10.38,"Bệnh gút do suy giảm chức năng thận, vị trí khác","Gout due to impairment of renal function, other"
M10.39,"Bệnh gút do suy giảm chức năng thận, vị trí không xác định","Gout due to impairment of renal function, site unspecified"
M10.4,Bệnh gút thứ phát khác,Other secondary gout
M10.40,"Bệnh gút thứ phát khác, nhiều vị trí","Other secondary gout, multiple sites"
M10.41,"Bệnh gút thứ phát khác, vùng vai","Other secondary gout, shoulder region"
M10.42,"Bệnh gút thứ phát khác, cánh tay trên","Other secondary gout, upper arm"
M10.43,"Bệnh gút thứ phát khác, cẳng tay","Other secondary gout, forearm"
M10.44,"Bệnh gút thứ phát khác, bàn tay","Other secondary gout, hand"
M10.45,"Bệnh gút thứ phát khác, vùng chậu và/hoặc đùi","Other secondary gout, pelvic region and thigh"
M10.46,"Bệnh gút thứ phát khác, cẳng chân","Other secondary gout, lower leg"
M10.47,"Bệnh gút thứ phát khác, cổ chân và/hoặc bàn chân","Other secondary gout, ankle and foot"
M10.48,"Bệnh gút thứ phát khác, vị trí khác","Other secondary gout, other"
M10.49,"Bệnh gút thứ phát khác, vị trí không xác định","Other secondary gout, site unspecified"
M10.9,"Bệnh gút, không xác định","Gout, unspecified"
M10.90,"Bệnh gút, không xác định, nhiều vị trí","Gout, unspecified, multiple sites"
M10.91,"Bệnh gút, không xác định, vùng vai","Gout, unspecified, shoulder region"
M10.92,"Bệnh gút, không xác định, cánh tay trên","Gout, unspecified, upper arm"
M10.93,"Bệnh gút, không xác định, cẳng tay","Gout, unspecified, forearm"
M10.94,"Bệnh gút, không xác định, bàn tay","Gout, unspecified, hand"
M10.95,"Bệnh gút, không xác định, vùng chậu và/hoặc đùi","Gout, unspecified, pelvic region and thigh"
M10.96,"Bệnh gút, không xác định, cẳng chân","Gout, unspecified, lower leg"
M10.97,"Bệnh gút, không xác định, cổ chân và/hoặc bàn chân","Gout, unspecified, ankle and foot"
M10.98,"Bệnh gút, không xác định, vị trí khác","Gout, unspecified, other"
M10.99,"Bệnh gút, không xác định, vị trí không xác định","Gout, unspecified, site unspecified"
M11,Bệnh lý khớp do vi tinh thể khác,Other crystal arthropathies
M11.0,Bệnh lắng đọng tinh thể Hydroxyapatite,Hydroxyapatite deposition disease
M11.00,"Bệnh lắng đọng tinh thể Hydroxyapatite, nhiều vị trí","Hydroxyapatite deposition disease, multiple sites"
M11.01,"Bệnh lắng đọng tinh thể Hydroxyapatite, vùng vai","Hydroxyapatite deposition disease, shoulder region"
M11.02,"Bệnh lắng đọng tinh thể Hydroxyapatite, cánh tay trên","Hydroxyapatite deposition disease, upper arm"
M11.03,"Bệnh lắng đọng tinh thể Hydroxyapatite, cẳng tay","Hydroxyapatite deposition disease, forearm"
M11.04,"Bệnh lắng đọng tinh thể Hydroxyapatite, bàn tay","Hydroxyapatite deposition disease, hand"
M11.05,"Bệnh lắng đọng tinh thể Hydroxyapatite, vùng chậu và/hoặc đùi","Hydroxyapatite deposition disease, pelvic region and thigh"
M11.06,"Bệnh lắng đọng tinh thể Hydroxyapatite, cẳng chân","Hydroxyapatite deposition disease, lower leg"
M11.07,"Bệnh lắng đọng tinh thể Hydroxyapatite, cổ chân và/hoặc bàn chân","Hydroxyapatite deposition disease, ankle and foot"
M11.08,"Bệnh lắng đọng tinh thể Hydroxyapatite, vị trí khác","Hydroxyapatite deposition disease, other"
M11.09,"Bệnh lắng đọng tinh thể Hydroxyapatite, vị trí không xác định","Hydroxyapatite deposition disease, site unspecified"
M11.1,Bệnh vôi hóa sụn khớp có yếu tố gia đình,Familial chondrocalcinosis
M11.10,"Bệnh vôi hóa sụn khớp có yếu tố gia đình, nhiều vị trí","Familial chondrocalcinosis, multiple sites"
M11.11,"Bệnh vôi hóa sụn khớp có yếu tố gia đình, vùng vai","Familial chondrocalcinosis, shoulder region"
M11.12,"Bệnh vôi hóa sụn khớp có yếu tố gia đình, cánh tay trên","Familial chondrocalcinosis, upper arm"
M11.13,"Bệnh vôi hóa sụn khớp có yếu tố gia đình, cẳng tay","Familial chondrocalcinosis, forearm"
M11.14,"Bệnh vôi hóa sụn khớp có yếu tố gia đình, bàn tay","Familial chondrocalcinosis, hand"
M11.15,"Bệnh vôi hóa sụn khớp có yếu tố gia đình, vùng chậu và/hoặc đùi","Familial chondrocalcinosis, pelvic region and thigh"
M11.16,"Bệnh vôi hóa sụn khớp có yếu tố gia đình, cẳng chân","Familial chondrocalcinosis, lower leg"
M11.17,"Bệnh vôi hóa sụn khớp có yếu tố gia đình, cổ chân và/hoặc bàn chân","Familial chondrocalcinosis, ankle and foot"
M11.18,"Bệnh vôi hóa sụn khớp có yếu tố gia đình, vị trí khác","Familial chondrocalcinosis, other"
M11.19,"Bệnh vôi hóa sụn khớp có yếu tố gia đình, vị trí không xác định","Familial chondrocalcinosis, site unspecified"
M11.2,Bệnh vôi hóa sụn khớp khác,Other chondrocalcinosis
M11.20,"Bệnh vôi hóa sụn khớp khác, nhiều vị trí","Other chondrocalcinosis, multiple sites"
M11.21,"Bệnh vôi hóa sụn khớp khác, vùng vai","Other chondrocalcinosis, shoulder region"
M11.22,"Bệnh vôi hóa sụn khớp khác, cánh tay trên","Other chondrocalcinosis, upper arm"
M11.23,"Bệnh vôi hóa sụn khớp khác, cẳng tay","Other chondrocalcinosis, forearm"
M11.24,"Bệnh vôi hóa sụn khớp khác, bàn tay","Other chondrocalcinosis, hand"
M11.25,"Bệnh vôi hóa sụn khớp khác, vùng chậu và/hoặc đùi","Other chondrocalcinosis, pelvic region and thigh"
M11.26,"Bệnh vôi hóa sụn khớp khác, cẳng chân","Other chondrocalcinosis, lower leg"
M11.27,"Bệnh vôi hóa sụn khớp khác, cổ chân và/hoặc bàn chân","Other chondrocalcinosis, ankle and foot"
M11.28,"Bệnh vôi hóa sụn khớp khác, vị trí khác","Other chondrocalcinosis, other"
M11.29,"Bệnh vôi hóa sụn khớp khác, vị trí không xác định","Other chondrocalcinosis, site unspecified"
M11.8,Bệnh lý khớp do vi tinh thể xác định khác,Other specified crystal arthropathies
M11.80,"Bệnh lý khớp do vi tinh thể xác định khác, nhiều vị trí","Other specified crystal arthropathies, multiple sites"
M11.81,"Bệnh lý khớp do vi tinh thể xác định khác, vùng vai","Other specified crystal arthropathies, shoulder region"
M11.82,"Bệnh lý khớp do vi tinh thể xác định khác, cánh tay trên","Other specified crystal arthropathies, upper arm"
M11.83,"Bệnh lý khớp do vi tinh thể xác định khác, cẳng tay","Other specified crystal arthropathies, forearm"
M11.84,"Bệnh lý khớp do vi tinh thể xác định khác, bàn tay","Other specified crystal arthropathies, hand"
M11.85,"Bệnh lý khớp do vi tinh thể xác định khác, vùng chậu và/hoặc đùi","Other specified crystal arthropathies, pelvic region and thigh"
M11.86,"Bệnh lý khớp do vi tinh thể xác định khác, cẳng chân","Other specified crystal arthropathies, lower leg"
M11.87,"Bệnh lý khớp do vi tinh thể xác định khác, cổ chân và/hoặc bàn chân","Other specified crystal arthropathies, ankle and foot"
M11.88,"Bệnh lý khớp do vi tinh thể xác định khác, vị trí khác","Other specified crystal arthropathies, other"
M11.89,"Bệnh lý khớp do vi tinh thể xác định khác, vị trí không xác định","Other specified crystal arthropathies, site unspecified"
M11.9,"Bệnh lý khớp do vi tinh thể, không xác định","Crystal arthropathy, unspecified"
M11.90,"Bệnh lý khớp do vi tinh thể, không xác định, nhiều vị trí","Crystal arthropathy, unspecified, multiple sites"
M11.91,"Bệnh lý khớp do vi tinh thể, không xác định, vùng vai","Crystal arthropathy, unspecified, shoulder region"
M11.92,"Bệnh lý khớp do vi tinh thể, không xác định, cánh tay trên","Crystal arthropathy, unspecified, upper arm"
M11.93,"Bệnh lý khớp do vi tinh thể, không xác định, cẳng tay","Crystal arthropathy, unspecified, forearm"
M11.94,"Bệnh lý khớp do vi tinh thể, không xác định, bàn tay","Crystal arthropathy, unspecified, hand"
M11.95,"Bệnh lý khớp do vi tinh thể, không xác định, vùng chậu và/hoặc đùi","Crystal arthropathy, unspecified, pelvic region and thigh"
M11.96,"Bệnh lý khớp do vi tinh thể, không xác định, cẳng chân","Crystal arthropathy, unspecified, lower leg"
M11.97,"Bệnh lý khớp do vi tinh thể, không xác định, cổ chân và/hoặc bàn chân","Crystal arthropathy, unspecified, ankle and foot"
M11.98,"Bệnh lý khớp do vi tinh thể, không xác định, vị trí khác","Crystal arthropathy, unspecified, other"
M11.99,"Bệnh lý khớp do vi tinh thể, không xác định, vị trí không xác định","Crystal arthropathy, unspecified, site unspecified"
M12,Bệnh lý khớp xác định khác,Other specific arthropathies
M12.0,Bệnh lý khớp mạn tính sau bệnh thấp [Jaccoud],Chronic postrheumatic arthropathy [Jaccoud]
M12.00,"Bệnh lý khớp mạn tính sau bệnh thấp [Jaccoud], nhiều vị trí","Chronic postrheumatic arthropathy [Jaccoud], multiple sites"
M12.01,"Bệnh lý khớp mạn tính sau bệnh thấp [Jaccoud], vùng vai","Chronic postrheumatic arthropathy [Jaccoud], shoulder region"
M12.02,"Bệnh lý khớp mạn tính sau bẹnh thấp [Jaccoud], cánh tay trên","Chronic postrheumatic arthropathy [Jaccoud], upper arm"
M12.03,"Bệnh lý khớp mạn tính sau bệnh thấp [Jaccoud], cẳng tay","Chronic postrheumatic arthropathy [Jaccoud], forearm"
M12.04,"Bệnh lý khớp mạn tính sau bệnh thấp [Jaccoud], bàn tay","Chronic postrheumatic arthropathy [Jaccoud], hand"
M12.05,"Bệnh lý khớp mạn tính sau bệnh thấp [Jaccoud], vùng chậu và/hoặc đùi","Chronic postrheumatic arthropathy [Jaccoud], pelvic region and thigh"
M12.06,"Bệnh lý khớp mạn tính sau bệnh thấp [Jaccoud], cẳng chân","Chronic postrheumatic arthropathy [Jaccoud], lower leg"
M12.07,"Bệnh lý khớp mạn tính sau bệnh thấp [Jaccoud], cổ chân và/hoặc bàn chân","Chronic postrheumatic arthropathy [Jaccoud], ankle and foot"
M12.08,"Bệnh lý khớp mạn tính sau bệnh thấp [Jaccoud], vị trí khác","Chronic postrheumatic arthropathy [Jaccoud], other"
M12.09,"Bệnh lý khớp mạn tính sau bệnh thấp [Jaccoud], vị trí không xác định","Chronic postrheumatic arthropathy [Jaccoud], site unspecified"
M12.1,Bệnh Kaschin-Beck,Kaschin-Beck disease
M12.10,"Bệnh Kaschin-Beck, nhiều vị trí","Kaschin-Beck disease, multiple sites"
M12.11,"Bệnh Kaschin-Beck, vùng vai","Kaschin-Beck disease, shoulder region"
M12.12,"Bệnh Kaschin-Beck, cánh tay trên","Kaschin-Beck disease, upper arm"
M12.13,"Bệnh Kaschin-Beck, cẳng tay","Kaschin-Beck disease, forearm"
M12.14,"Bệnh Kaschin-Beck, bàn tay","Kaschin-Beck disease, hand"
M12.15,"Bệnh Kaschin-Beck, vùng chậu và/hoặc đùi","Kaschin-Beck disease, pelvic region and thigh"
M12.16,"Bệnh Kaschin-Beck, cẳng chân","Kaschin-Beck disease, lower leg"
M12.17,"Bệnh Kaschin-Beck, cổ chân và/hoặc bàn chân","Kaschin-Beck disease, ankle and foot"
M12.18,"Bệnh Kaschin-Beck, vị trí khác","Kaschin-Beck disease, other"
M12.19,"Bệnh Kaschin-Beck, vị trí không xác định","Kaschin-Beck disease, site unspecified"
M12.2,Viêm màng hoạt dịch thể lông nốt (sắc tố),Villonodular synovitis (pigmented)
M12.20,"Viêm màng hoạt dịch thể lông nốt (sắc tố), nhiều vị trí","Villonodular synovitis (pigmented), multiple sites"
M12.21,"Viêm màng hoạt dịch thể lông nốt (sắc tố), vùng vai","Villonodular synovitis (pigmented), shoulder region"
M12.22,"Viêm màng hoạt dịch thể lông nốt (sắc tố), cánh tay trên","Villonodular synovitis (pigmented), upper arm"
M12.23,"Viêm màng hoạt dịch thể lông nốt (sắc tố), cẳng tay","Villonodular synovitis (pigmented), forearm"
M12.24,"Viêm màng hoạt dịch thể lông nốt (sắc tố), bàn tay","Villonodular synovitis (pigmented), hand"
M12.25,"Viêm màng hoạt dịch thể lông nốt (sắc tố), vùng chậu và/hoặc đùi","Villonodular synovitis (pigmented), pelvic region and thigh"
M12.26,"Viêm màng hoạt dịch thể lông nốt (sắc tố), cẳng chân","Villonodular synovitis (pigmented), lower leg"
M12.27,"Viêm màng hoạt dịch thể lông nốt (sắc tố), cổ chân và/hoặc bàn chân","Villonodular synovitis (pigmented), ankle and foot"
M12.28,"Viêm màng hoạt dịch thể lông nốt (sắc tố), vị trí khác","Villonodular synovitis (pigmented), other"
M12.29,"Viêm màng hoạt dịch thể lông nốt (sắc tố), vị trí không xác định","Villonodular synovitis (pigmented), site unspecified"
M12.3,Bệnh thấp khớp tái phát (PR),Palindromic rheumatism
M12.30,"Bệnh thấp khớp tái phát (PR), nhiều vị trí","Palindromic rheumatism, multiple sites"
M12.31,"Bệnh thấp khớp tái phát (PR), vùng vai","Palindromic rheumatism, shoulder region"
M12.32,"Bệnh thấp khớp tái phát (PR), cánh tay trên","Palindromic rheumatism, upper arm"
M12.33,"Bệnh thấp khớp tái phát (PR), cẳng tay","Palindromic rheumatism, forearm"
M12.34,"Bệnh thấp khớp tái phát (PR), bàn tay","Palindromic rheumatism, hand"
M12.35,"Bệnh thấp khớp tái phát (PR), vùng chậu và/hoặc đùi","Palindromic rheumatism, pelvic region and thigh"
M12.36,"Bệnh thấp khớp tái phát (PR), cẳng chân","Palindromic rheumatism, lower leg"
M12.37,"Bệnh thấp khớp tái phát (PR), cổ chân và/hoặc bàn chân","Palindromic rheumatism, ankle and foot"
M12.38,"Bệnh thấp khớp tái phát (PR), vị trí khác","Palindromic rheumatism, other"
M12.39,"Bệnh thấp khớp tái phát (PR), vị trí không xác định","Palindromic rheumatism, site unspecified"
M12.4,Tràn dịch khớp gián đoạn,Intermittent hydrarthrosis
M12.40,"Tràn dịch khớp gián đoạn, nhiều vị trí","Intermittent hydrarthrosis, multiple sites"
M12.41,"Tràn dịch khớp gián đoạn, vùng vai","Intermittent hydrarthrosis, shoulder region"
M12.42,"Tràn dịch khớp gián đoạn, cánh tay trên","Intermittent hydrarthrosis, upper arm"
M12.43,"Tràn dịch khớp gián đoạn, cẳng tay","Intermittent hydrarthrosis, forearm"
M12.44,"Tràn dịch khớp gián đoạn, bàn tay","Intermittent hydrarthrosis, hand"
M12.45,"Tràn dịch khớp gián đoạn, vùng chậu và/hoặc đùi","Intermittent hydrarthrosis, pelvic region and thigh"
M12.46,"Tràn dịch khớp gián đoạn, cẳng chân","Intermittent hydrarthrosis, lower leg"
M12.47,"Tràn dịch khớp gián đoạn, cổ chân và/hoặc bàn chân","Intermittent hydrarthrosis, ankle and foot"
M12.48,"Tràn dịch khớp gián đoạn, vị trí khác","Intermittent hydrarthrosis, other"
M12.49,"Tràn dịch khớp gián đoạn, vị trí không xác định","Intermittent hydrarthrosis, site unspecified"
M12.5,Bệnh lý khớp do chấn thương,Traumatic arthropathy
M12.50,"Bệnh lý khớp do chấn thương, nhiều vị trí","Traumatic arthropathy, multiple sites"
M12.51,"Bệnh lý khớp do chấn thương, vùng vai","Traumatic arthropathy, shoulder region"
M12.52,"Bệnh lý khớp do chấn thương, cánh tay trên","Traumatic arthropathy, upper arm"
M12.53,"Bệnh lý khớp do chấn thương, cẳng tay","Traumatic arthropathy, forearm"
M12.54,"Bệnh lý khớp do chấn thương, bàn tay","Traumatic arthropathy, hand"
M12.55,"Bệnh lý khớp do chấn thương, vùng chậu và/hoặc đùi","Traumatic arthropathy, pelvic region and thigh"
M12.56,"Bệnh lý khớp do chấn thương, cẳng chân","Traumatic arthropathy, lower leg"
M12.57,"Bệnh lý khớp do chấn thương, cổ chân và/hoặc bàn chân","Traumatic arthropathy, ankle and foot"
M12.58,"Bệnh lý khớp do chấn thương, vị trí khác","Traumatic arthropathy, other"
M12.59,"Bệnh lý khớp do chấn thương, vị trí không xác định","Traumatic arthropathy, site unspecified"
M12.8,"Bệnh lý khớp xác định khác, không phân loại mục khác","Other specific arthropathies, not elsewhere classified"
M12.80,"Bệnh lý khớp xác định khác, không phân loại mục khác, nhiều vị trí","Other specific arthropathies, not elsewhere classified, multiple sites"
M12.81,"Bệnh lý khớp xác định khác, không phân loại mục khác, vùng vai","Other specific arthropathies, not elsewhere classified, shoulder region"
M12.82,"Bệnh lý khớp xác định khác, không phân loại mục khác, cánh tay trên","Other specific arthropathies, not elsewhere classified, upper arm"
M12.83,"Bệnh lý khớp xác định khác, không phân loại mục khác, cẳng tay","Other specific arthropathies, not elsewhere classified, forearm"
M12.84,"Bệnh lý khớp xác định khác, không phân loại mục khác, bàn tay","Other specific arthropathies, not elsewhere classified, hand"
M12.85,"Bệnh lý khớp xác định khác, không phân loại mục khác, vùng chậu và/hoặc đùi","Other specific arthropathies, not elsewhere classified, pelvic region and thigh"
M12.86,"Bệnh lý khớp xác định khác, không phân loại mục khác, cẳng chân","Other specific arthropathies, not elsewhere classified, lower leg"
M12.87,"Bệnh lý khớp xác định khác, không phân loại mục khác, cổ chân và/hoặc bàn chân","Other specific arthropathies, not elsewhere classified, ankle and foot"
M12.88,"Bệnh lý khớp xác định khác, không phân loại mục khác, vị trí khác","Other specific arthropathies, not elsewhere classified, other"
M12.89,"Bệnh lý khớp xác định khác, không phân loại mục khác, vị trí không xác định","Other specific arthropathies, not elsewhere classified, site unspecified"
M13,Viêm khớp khác,Other arthritis
M13.0,"Viêm đa khớp, không xác định","Polyarthritis, unspecified"
M13.00,"Viêm đa khớp, không xác định, nhiều vị trí","Polyarthritis, unspecified, multiple sites"
M13.01,"Viêm đa khớp, không xác định, vùng vai","Polyarthritis, unspecified, shoulder region"
M13.02,"Viêm đa khớp, không xác định, cánh tay trên","Polyarthritis, unspecified, upper arm"
M13.03,"Viêm đa khớp, không xác định, cẳng tay","Polyarthritis, unspecified, forearm"
M13.04,"Viêm đa khớp, không xác định, bàn tay","Polyarthritis, unspecified, hand"
M13.05,"Viêm đa khớp, không xác định, vùng chậu và/hoặc đùi","Polyarthritis, unspecified, pelvic region and thigh"
M13.06,"Viêm đa khớp, không xác định, cẳng chân","Polyarthritis, unspecified, lower leg"
M13.07,"Viêm đa khớp, không xác định, cổ chân và/hoặc bàn chân","Polyarthritis, unspecified, ankle and foot"
M13.08,"Viêm đa khớp, không xác định, vị trí khác","Polyarthritis, unspecified, other"
M13.09,"Viêm đa khớp, không xác định, vị trí không xác định","Polyarthritis, unspecified, site unspecified"
M13.1,"Viêm đơn khớp, không phân loại mục khác","Monoarthritis, not elsewhere classified"
M13.10,"Viêm đơn khớp, không phân loại mục khác, nhiều vị trí","Monoarthritis, not elsewhere classified, multiple sites"
M13.11,"Viêm đơn khớp, không phân loại mục khác, vùng vai","Monoarthritis, not elsewhere classified, shoulder region"
M13.12,"Viêm đơn khớp, không phân loại mục khác, cánh tay trên","Monoarthritis, not elsewhere classified, upper arm"
M13.13,"Viêm đơn khớp, không phân loại mục khác, cẳng tay","Monoarthritis, not elsewhere classified, forearm"
M13.14,"Viêm đơn khớp, không phân loại mục khác, bàn tay","Monoarthritis, not elsewhere classified, hand"
M13.15,"Viêm đơn khớp, không phân loại mục khác, vùng chậu và/hoặc đùi","Monoarthritis, not elsewhere classified, pelvic region and thigh"
M13.16,"Viêm đơn khớp, không phân loại mục khác, cẳng chân","Monoarthritis, not elsewhere classified, lower leg"
M13.17,"Viêm đơn khớp, không phân loại mục khác, cổ chân và/hoặc bàn chân","Monoarthritis, not elsewhere classified, ankle and foot"
M13.18,"Viêm đơn khớp, không phân loại mục khác, vị trí khác","Monoarthritis, not elsewhere classified, other"
M13.19,"Viêm đơn khớp, không phân loại mục khác, vị trí không xác định","Monoarthritis, not elsewhere classified, site unspecified"
M13.8,Viêm khớp xác định khác,Other specified arthritis
M13.80,"Viêm khớp xác định khác, nhiều vị trí","Other specified arthritis, multiple sites"
M13.81,"Viêm khớp xác định khác, vùng vai","Other specified arthritis, shoulder region"
M13.82,"Viêm khớp xác định khác, cánh tay trên","Other specified arthritis, upper arm"
M13.83,"Viêm khớp xác định khác, cẳng tay","Other specified arthritis, forearm"
M13.84,"Viêm khớp xác định khác, bàn tay","Other specified arthritis, hand"
M13.85,"Viêm khớp xác định khác, vùng chậu và/hoặc đùi","Other specified arthritis, pelvic region and thigh"
M13.86,"Viêm khớp xác định khác, cẳng chân","Other specified arthritis, lower leg"
M13.87,"Viêm khớp xác định khác, cổ chân và/hoặc bàn chân","Other specified arthritis, ankle and foot"
M13.88,"Viêm khớp xác định khác, vị trí khác","Other specified arthritis, other"
M13.89,"Viêm khớp xác định khác, vị trí không xác định","Other specified arthritis, site unspecified"
M13.9,"Viêm khớp, không xác định","Arthritis, unspecified"
M13.90,"Viêm khớp, không xác định, nhiều vị trí","Arthritis, unspecified, multiple sites"
M13.91,"Viêm khớp, không xác định, vùng vai","Arthritis, unspecified, shoulder region"
M13.92,"Viêm khớp, không xác định, cánh tay trên","Arthritis, unspecified, upper arm"
M13.93,"Viêm khớp, không xác định, cẳng tay","Arthritis, unspecified, forearm"
M13.94,"Viêm khớp, không xác định, bàn tay","Arthritis, unspecified, hand"
M13.95,"Viêm khớp, không xác định, vùng chậu và/hoặc đùi","Arthritis, unspecified, pelvic region and thigh"
M13.96,"Viêm khớp, không xác định, cẳng chân","Arthritis, unspecified, lower leg"
M13.97,"Viêm khớp, không xác định, cổ chân và/hoặc bàn chân","Arthritis, unspecified, ankle and foot"
M13.98,"Viêm khớp, không xác định, vị trí khác","Arthritis, unspecified, other"
M13.99,"Viêm khớp, không xác định, vị trí không xác định","Arthritis, unspecified, site unspecified"
M15,Thoái hóa đa khớp,Polyarthrosis
M15.0,Thoái hóa khớp nguyên phát toàn phần,Primary generalized (osteo)arthrosis
M15.1,Nốt Heberden (kèm bệnh lý khớp),Heberden nodes (with arthropathy)
M15.2,Nốt Bouchard (kèm bệnh lý khớp),Bouchard nodes (with arthropathy)
M15.3,Thoái hóa đa khớp thứ phát,Secondary multiple arthrosis
M15.4,Thoái hóa khớp bào mòn,Erosive (osteo)arthrosis
M15.8,Thoái hóa đa khớp khác,Other polyarthrosis
M15.9,"Thoái hóa đa khớp, không xác định","Polyarthrosis, unspecified"
M16,Thoái hóa khớp háng [thoái hóa xương hông],Coxarthrosis [arthrosis of hip]
M16.0,"Thoái hóa khớp háng nguyên phát, hai bên","Primary coxarthrosis, bilateral"
M16.1,Thoái hóa khớp háng nguyên phát khác,Other primary coxarthrosis
M16.2,"Thoái hóa khớp háng do loạn sản, hai bên","Coxarthrosis resulting from dysplasia, bilateral"
M16.3,Thoái hóa khớp háng do loạn sản khác,Other dysplastic coxarthrosis
M16.4,"Thoái hóa khớp háng sau chấn thương, hai bên","Post-traumatic coxarthrosis, bilateral"
M16.5,Thoái hóa khớp háng sau chấn thương khác,Other post- traumatic coxarthrosis
M16.6,"Thoái hóa khớp háng thứ phát khác, hai bên","Other secondary coxarthrosis, bilateral"
M16.7,Thoái hóa khớp háng thứ phát khác,Other secondary coxarthrosis
M16.9,"Thoái hóa khớp háng, không xác định","Coxarthrosis, unspecified"
M17,Thoái hóa khớp gối,Gonarthrosis [arthrosis of knee]
M17.0,"Thoái hóa khớp gối nguyên phát, hai bên","Primary gonarthrosis, bilateral"
M17.1,Thoái hóa khớp gối nguyên phát khác,Other primary gonarthrosis
M17.2,"Thoái hóa khớp gối sau chấn thương, hai bên","Post-traumatic gonarthrosis, bilateral"
M17.3,Thoái hóa khớp gối sau chấn thương khác,Other post- traumatic gonarthrosis
M17.4,"Thoái hóa khớp gối thứ phát khác, hai bên","Other secondary gonarthrosis, bilateral"
M17.5,Thoái hóa khớp gối thứ phát khác,Other secondary gonarthrosis
M17.9,"Thoái hóa khớp gối, không xác định","Gonarthrosis, unspecified"
M18,Thoái hóa khớp cổ tay - khớp gốc ngón tay cái,Arthrosis of first carpometacarpal joint
M18,Thoái hóa khớp cổ tay-khớp gốc ngón tay cái,Arthrosis of first carpometacarpal joint
M18.0,"Thoái hóa khớp cổ tay - khớp gốc ngón tay cái nguyên phát, hai bên","Primary arthrosis of first carpometacarpal joints, bilateral"
M18.1,Thoái hóa nguyên phát khác của khớp cổ tay - khớp gốc ngón tay cái,Other primary arthrosis of first carpometacarpal joint
M18.2,"Thoái hóa khớp cổ tay - khớp gốc ngón tay cái sau chấn thương, hai bên","Post-traumatic arthrosis of first carpometacarpal joints, bilateral"
M18.3,Thoái hóa khớp cổ tay - khớp gốc ngón tay cái sau chấn thương khác,Other post- traumatic arthrosis of first carpometacarpal joint
M18.4,"Thoái hóa khớp cổ tay - khớp gốc ngón tay thứ phát khác, hai bên","Other secondary arthrosis of first carpometacarpal joints, bilateral"
